                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.59291,                0.42002,                0.92909,                0.83803,                0.49362,                0.56172,                0.41009,                 1.1687,                0.93143,                 1.3384,             9.1811e-05,             9.1811e-05,             9.1811e-05
                    152,                0.56769,                0.40039,                0.92322,                0.76246,                 0.5098,                 0.5622,                 0.4084,                 1.1639,                 0.9416,                 1.3335,             9.0112e-05,             9.0112e-05,             9.0112e-05
                    153,                0.57095,                0.41079,                 0.9294,                0.77092,                0.51259,                0.56432,                0.40604,                 1.1735,                0.95163,                 1.3429,             8.8413e-05,             8.8413e-05,             8.8413e-05
                    154,                0.57674,                0.39934,                 0.9193,                  0.708,                0.51908,                0.55402,                0.40233,                 1.1724,                0.94192,                 1.3407,             8.6713e-05,             8.6713e-05,             8.6713e-05
                    155,                0.56673,                0.40576,                0.92359,                0.71495,                0.51497,                0.56149,                0.41042,                   1.16,                0.93456,                 1.3267,             8.5014e-05,             8.5014e-05,             8.5014e-05
                    156,                0.56983,                0.39818,                0.91107,                0.76516,                0.49585,                 0.5622,                0.40524,                  1.166,                 0.9588,                 1.3317,             8.3315e-05,             8.3315e-05,             8.3315e-05
                    157,                0.55735,                0.39733,                0.91044,                0.75993,                0.50134,                 0.5674,                0.40942,                 1.1716,                0.96061,                 1.3353,             8.1616e-05,             8.1616e-05,             8.1616e-05
                    158,                0.56901,                0.41011,                0.91824,                 0.7887,                0.48752,                 0.5636,                0.40615,                 1.1603,                0.95817,                 1.3335,             7.9916e-05,             7.9916e-05,             7.9916e-05
                    159,                0.57756,                0.42165,                0.93229,                 0.7255,                0.51634,                0.55847,                0.40602,                 1.1604,                0.94925,                 1.3386,             7.8217e-05,             7.8217e-05,             7.8217e-05
                    160,                0.55622,                0.39304,                0.91153,                0.78945,                0.49493,                0.56465,                0.40577,                 1.1575,                0.93474,                 1.3336,             7.6518e-05,             7.6518e-05,             7.6518e-05
                    161,                0.56071,                  0.399,                0.92601,                0.73951,                0.50544,                0.56012,                 0.4061,                 1.1622,                0.95395,                 1.3413,             7.4819e-05,             7.4819e-05,             7.4819e-05
                    162,                0.54678,                0.38704,                0.91737,                0.73339,                0.49101,                 0.5555,                0.40447,                 1.1819,                0.96729,                 1.3519,             7.3119e-05,             7.3119e-05,             7.3119e-05
                    163,                0.54611,                0.40046,                0.90971,                0.78783,                0.48413,                0.55982,                0.40633,                  1.165,                0.96391,                 1.3368,              7.142e-05,              7.142e-05,              7.142e-05
                    164,                 0.5453,                0.38913,                0.90588,                0.74946,                0.51085,                0.56085,                0.40723,                 1.1591,                0.95155,                 1.3373,             6.9721e-05,             6.9721e-05,             6.9721e-05
                    165,                0.56947,                0.39829,                0.92381,                0.75234,                0.51377,                 0.5644,                0.40108,                 1.1737,                0.96029,                 1.3435,             6.8022e-05,             6.8022e-05,             6.8022e-05
                    166,                0.56202,                0.40469,                 0.9196,                0.75756,                0.50761,                0.55509,                0.40681,                 1.1818,                 0.9735,                 1.3471,             6.6322e-05,             6.6322e-05,             6.6322e-05
                    167,                0.55032,                0.39876,                0.90205,                0.77562,                0.49661,                0.55888,                0.40121,                 1.1664,                0.96757,                 1.3382,             6.4623e-05,             6.4623e-05,             6.4623e-05
                    168,                0.55511,                0.38932,                0.90473,                0.76948,                 0.4988,                0.56148,                0.40238,                  1.156,                0.94155,                 1.3318,             6.2924e-05,             6.2924e-05,             6.2924e-05
                    169,                0.55231,                0.38657,                0.91777,                0.74915,                0.50534,                0.56382,                 0.4032,                 1.1607,                0.91796,                 1.3345,             6.1225e-05,             6.1225e-05,             6.1225e-05
                    170,                0.56743,                0.39245,                0.91251,                0.73751,                0.51556,                0.57061,                0.40713,                  1.167,                 0.9222,                 1.3405,             5.9525e-05,             5.9525e-05,             5.9525e-05
                    171,                0.55534,                0.37728,                0.93225,                0.77312,                0.48655,                0.56947,                0.40527,                 1.1631,                0.93593,                 1.3409,             5.7826e-05,             5.7826e-05,             5.7826e-05
                    172,                0.54011,                0.40061,                0.91598,                0.78208,                0.48956,                0.56973,                0.40566,                 1.1638,                0.92982,                 1.3431,             5.6127e-05,             5.6127e-05,             5.6127e-05
                    173,                0.54286,                0.38679,                0.90069,                 0.7547,                0.49809,                0.56957,                0.40818,                 1.1521,                0.92217,                 1.3294,             5.4428e-05,             5.4428e-05,             5.4428e-05
                    174,                0.55164,                0.39201,                0.91389,                0.78422,                0.49532,                0.56874,                0.41501,                 1.1521,                0.93818,                 1.3311,             5.2728e-05,             5.2728e-05,             5.2728e-05
                    175,                0.54496,                0.38067,                0.91149,                0.76138,                 0.4925,                0.56724,                0.41205,                 1.1556,                0.93247,                 1.3287,             5.1029e-05,             5.1029e-05,             5.1029e-05
                    176,                0.54259,                 0.3846,                0.90916,                0.75968,                0.50221,                0.56645,                 0.4088,                 1.1623,                0.93018,                 1.3282,              4.933e-05,              4.933e-05,              4.933e-05
                    177,                0.53714,                 0.3866,                0.90923,                0.72971,                0.51246,                0.56761,                0.41122,                 1.1636,                0.93723,                 1.3328,             4.7631e-05,             4.7631e-05,             4.7631e-05
                    178,                0.53198,                0.37144,                0.90554,                0.74674,                0.50582,                0.56541,                0.41693,                 1.1547,                0.93194,                  1.326,             4.5931e-05,             4.5931e-05,             4.5931e-05
                    179,                0.54907,                0.38303,                0.91501,                0.72236,                0.52065,                0.56533,                0.41754,                 1.1522,                0.93388,                 1.3239,             4.4232e-05,             4.4232e-05,             4.4232e-05
                    180,                0.52898,                0.37256,                0.91012,                0.78807,                0.48819,                0.56297,                0.41512,                 1.1519,                0.93052,                 1.3254,             4.2533e-05,             4.2533e-05,             4.2533e-05
                    181,                0.51688,                0.36588,                0.90127,                 0.7527,                 0.5092,                0.56332,                0.41203,                 1.1511,                0.91746,                 1.3281,             4.0834e-05,             4.0834e-05,             4.0834e-05
                    182,                0.55737,                0.40448,                0.92116,                0.79261,                0.48175,                0.55787,                0.40761,                 1.1547,                0.93143,                   1.33,             3.9134e-05,             3.9134e-05,             3.9134e-05
                    183,                0.52796,                0.36628,                 0.9129,                0.75587,                0.50511,                0.56087,                0.41079,                 1.1509,                0.92978,                  1.325,             3.7435e-05,             3.7435e-05,             3.7435e-05
                    184,                0.53595,                 0.3802,                0.90841,                0.77484,                 0.5003,                0.56494,                0.41674,                 1.1529,                0.93505,                 1.3274,             3.5736e-05,             3.5736e-05,             3.5736e-05
                    185,                0.51909,                0.36453,                0.89924,                0.77779,                0.49204,                 0.5656,                0.41857,                 1.1446,                0.92897,                 1.3245,             3.4037e-05,             3.4037e-05,             3.4037e-05
                    186,                0.50649,                0.38831,                0.90613,                0.76828,                0.50606,                0.56506,                 0.4186,                 1.1456,                0.93335,                 1.3274,             3.2337e-05,             3.2337e-05,             3.2337e-05
                    187,                0.53909,                0.36684,                0.89914,                0.77874,                0.50039,                0.56575,                0.42185,                 1.1473,                 0.9308,                 1.3319,             3.0638e-05,             3.0638e-05,             3.0638e-05
                    188,                0.52878,                0.37019,                0.90413,                0.78638,                0.49687,                0.56687,                0.42044,                 1.1473,                0.92653,                 1.3363,             2.8939e-05,             2.8939e-05,             2.8939e-05
                    189,                0.54621,                0.37404,                0.90543,                0.77156,                 0.5012,                0.56621,                0.41969,                 1.1523,                0.92035,                  1.337,              2.724e-05,              2.724e-05,              2.724e-05
                    190,                0.51566,                0.35805,                0.90207,                0.77408,                0.50232,                0.56852,                0.41871,                 1.1518,                0.93161,                 1.3326,              2.554e-05,              2.554e-05,              2.554e-05
                    191,                0.52628,                0.36077,                0.90519,                0.76176,                0.50865,                0.56651,                0.41583,                 1.1489,                0.93676,                 1.3266,             2.3841e-05,             2.3841e-05,             2.3841e-05
                    192,                0.53642,                0.35219,                0.86629,                0.72248,                0.52206,                0.55516,                0.39676,                 1.1627,                0.94748,                 1.3547,             2.2142e-05,             2.2142e-05,             2.2142e-05
                    193,                0.52634,                0.34226,                0.86308,                 0.7551,                  0.495,                0.55477,                0.39766,                  1.158,                0.94441,                 1.3539,             2.0443e-05,             2.0443e-05,             2.0443e-05
                    194,                0.51614,                 0.3474,                0.86793,                0.83407,                0.47857,                0.56219,                 0.4008,                 1.1601,                0.94039,                  1.351,             1.8743e-05,             1.8743e-05,             1.8743e-05
                    195,                0.50693,                0.32402,                0.86497,                0.84516,                0.47506,                0.56384,                0.40242,                 1.1597,                0.94537,                 1.3539,             1.7044e-05,             1.7044e-05,             1.7044e-05
                    196,                0.50621,                0.33401,                0.85471,                0.81128,                0.48801,                0.56501,                0.40226,                 1.1582,                0.94565,                 1.3525,             1.5345e-05,             1.5345e-05,             1.5345e-05
                    197,                0.48878,                0.31609,                0.85279,                0.76196,                0.50754,                0.56218,                0.40062,                 1.1591,                0.94076,                 1.3581,             1.3646e-05,             1.3646e-05,             1.3646e-05
                    198,                0.48731,                0.31837,                0.85599,                0.79044,                0.48369,                0.56081,                0.40076,                 1.1567,                0.93292,                 1.3562,             1.1946e-05,             1.1946e-05,             1.1946e-05
                    199,                0.50712,                0.32415,                 0.8591,                0.78233,                 0.4888,                 0.5607,                0.40389,                 1.1545,                0.92825,                 1.3571,             1.0247e-05,             1.0247e-05,             1.0247e-05
                    200,                 0.4956,                 0.3271,                0.85652,                0.77279,                0.50673,                 0.5622,                0.40595,                 1.1522,                0.92519,                 1.3544,             8.5478e-06,             8.5478e-06,             8.5478e-06
                    201,                0.48162,                0.31639,                0.86563,                0.78053,                0.50729,                0.56001,                0.40581,                 1.1486,                 0.9294,                 1.3497,             6.8485e-06,             6.8485e-06,             6.8485e-06
