                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88813,                0.75342,                 1.0812,                0.74911,                0.47953,                0.54946,                0.38355,                 1.1741,                 1.0177,                 1.2915,             0.00028892,             0.00028892,             0.00028892
                     36,                0.89384,                0.72512,                   1.07,                0.60508,                0.53139,                0.55992,                0.38267,                 1.1523,                 1.0246,                 1.2672,             0.00028723,             0.00028723,             0.00028723
                     37,                0.88898,                0.71991,                 1.0659,                0.67757,                0.49505,                0.56445,                0.37155,                 1.1449,                0.98714,                 1.2704,             0.00028553,             0.00028553,             0.00028553
                     38,                0.88544,                0.73017,                 1.0829,                0.58521,                0.54782,                0.54425,                0.36289,                 1.2212,                 1.0022,                 1.3279,             0.00028383,             0.00028383,             0.00028383
                     39,                0.87898,                0.71961,                 1.0742,                0.75135,                0.49641,                0.58252,                 0.4014,                 1.1873,                0.96979,                  1.295,             0.00028213,             0.00028213,             0.00028213
                     40,                0.86503,                0.69939,                  1.055,                0.71164,                0.51588,                0.58408,                0.39611,                 1.2135,                0.99121,                 1.3193,             0.00028043,             0.00028043,             0.00028043
                     41,                0.85987,                0.68561,                  1.046,                0.75663,                0.47439,                0.58727,                0.39574,                 1.2049,                0.97918,                 1.3278,             0.00027873,             0.00027873,             0.00027873
                     42,                0.86744,                0.71569,                 1.0638,                0.73337,                0.49287,                0.58222,                0.39895,                 1.1595,                 1.0087,                 1.2908,             0.00027703,             0.00027703,             0.00027703
                     43,                0.87174,                0.71083,                 1.0543,                 0.7302,                0.51062,                 0.5542,                0.38254,                 1.1979,                0.99228,                 1.3038,             0.00027533,             0.00027533,             0.00027533
                     44,                0.86173,                0.69939,                 1.0624,                0.69525,                0.49994,                0.58083,                0.40795,                 1.1783,                0.93872,                 1.2799,             0.00027363,             0.00027363,             0.00027363
                     45,                0.85737,                0.67583,                 1.0513,                0.75172,                0.50522,                0.54104,                0.37656,                  1.177,                0.99242,                  1.285,             0.00027193,             0.00027193,             0.00027193
                     46,                0.84305,                0.68477,                 1.0455,                0.70275,                0.52164,                0.56835,                0.40306,                 1.1724,                 0.9754,                 1.2827,             0.00027023,             0.00027023,             0.00027023
